"day";"y";"yprev";"n"
25;"Discharged";"Discharged";244
25;"Discharged";"Non-ICU ward";10
25;"Non-ICU ward";"Discharged";1
25;"Non-ICU ward";"Non-ICU ward";120
25;"Non-ICU ward";"ICU";1
25;"ICU";"ICU";7
25;"Dead";"ICU";1
25;"Dead";"Dead";9
26;"Discharged";"Discharged";254
26;"Discharged";"Non-ICU ward";11
26;"Non-ICU ward";"Non-ICU ward";111
26;"ICU";"ICU";7
26;"Dead";"Dead";10
27;"Discharged";"Discharged";265
27;"Discharged";"Non-ICU ward";3
27;"Non-ICU ward";"Non-ICU ward";107
27;"Non-ICU ward";"ICU";1
27;"ICU";"Non-ICU ward";1
27;"ICU";"ICU";6
27;"Dead";"Dead";10
28;"Discharged";"Discharged";263
28;"Discharged";"Non-ICU ward";7
28;"Non-ICU ward";"Discharged";5
28;"Non-ICU ward";"Non-ICU ward";100
28;"ICU";"Non-ICU ward";1
28;"ICU";"ICU";7
28;"Dead";"Dead";10
29;"Discharged";"Discharged";268
29;"Discharged";"Non-ICU ward";8
29;"Non-ICU ward";"Discharged";1
29;"Non-ICU ward";"Non-ICU ward";97
29;"ICU";"Discharged";1
29;"ICU";"ICU";8
29;"Dead";"Dead";10
30;"Discharged";"Discharged";274
30;"Discharged";"Non-ICU ward";12
30;"Non-ICU ward";"Discharged";2
30;"Non-ICU ward";"Non-ICU ward";86
30;"ICU";"ICU";9
30;"Dead";"Dead";10
31;"Discharged";"Discharged";283
31;"Discharged";"Non-ICU ward";6
31;"Non-ICU ward";"Discharged";3
31;"Non-ICU ward";"Non-ICU ward";82
31;"Non-ICU ward";"ICU";1
31;"ICU";"ICU";7
31;"Dead";"ICU";1
31;"Dead";"Dead";10
32;"Discharged";"Discharged";285
32;"Discharged";"Non-ICU ward";5
32;"Non-ICU ward";"Discharged";4
32;"Non-ICU ward";"Non-ICU ward";81
32;"Non-ICU ward";"ICU";1
32;"ICU";"ICU";5
32;"Dead";"ICU";1
32;"Dead";"Dead";11
33;"Discharged";"Discharged";284
33;"Discharged";"Non-ICU ward";4
33;"Non-ICU ward";"Discharged";6
33;"Non-ICU ward";"Non-ICU ward";81
33;"Non-ICU ward";"ICU";1
33;"ICU";"Non-ICU ward";1
33;"ICU";"ICU";4
33;"Dead";"Dead";12
34;"Discharged";"Discharged";285
34;"Discharged";"Non-ICU ward";2
34;"Non-ICU ward";"Discharged";3
34;"Non-ICU ward";"Non-ICU ward";86
34;"ICU";"ICU";5
34;"Dead";"Dead";12
35;"Discharged";"Discharged";284
35;"Discharged";"Non-ICU ward";8
35;"Non-ICU ward";"Discharged";3
35;"Non-ICU ward";"Non-ICU ward";81
35;"ICU";"ICU";5
35;"Dead";"Dead";12
36;"Discharged";"Discharged";290
36;"Discharged";"Non-ICU ward";11
36;"Non-ICU ward";"Discharged";1
36;"Non-ICU ward";"Non-ICU ward";72
36;"ICU";"Non-ICU ward";1
36;"ICU";"ICU";5
36;"Dead";"Discharged";1
36;"Dead";"Dead";12
37;"Discharged";"Discharged";299
37;"Discharged";"Non-ICU ward";8
37;"Non-ICU ward";"Discharged";2
37;"Non-ICU ward";"Non-ICU ward";65
37;"Non-ICU ward";"ICU";1
37;"ICU";"ICU";5
37;"Dead";"Dead";13
38;"Discharged";"Discharged";307
38;"Discharged";"Non-ICU ward";6
38;"Non-ICU ward";"Non-ICU ward";62
38;"Non-ICU ward";"ICU";1
38;"ICU";"ICU";4
38;"Dead";"Dead";13
39;"Discharged";"Discharged";310
39;"Discharged";"Non-ICU ward";7
39;"Non-ICU ward";"Discharged";3
39;"Non-ICU ward";"Non-ICU ward";55
39;"ICU";"Non-ICU ward";1
39;"ICU";"ICU";4
39;"Dead";"Dead";13
40;"Discharged";"Discharged";315
40;"Discharged";"Non-ICU ward";5
40;"Non-ICU ward";"Discharged";2
40;"Non-ICU ward";"Non-ICU ward";53
40;"ICU";"ICU";5
40;"Dead";"Dead";13
41;"Discharged";"Discharged";317
41;"Discharged";"Non-ICU ward";4
41;"Non-ICU ward";"Discharged";2
41;"Non-ICU ward";"Non-ICU ward";51
41;"ICU";"Discharged";1
41;"ICU";"ICU";5
41;"Dead";"Dead";13
42;"Discharged";"Discharged";319
42;"Discharged";"Non-ICU ward";2
42;"Non-ICU ward";"Discharged";2
42;"Non-ICU ward";"Non-ICU ward";50
42;"ICU";"Non-ICU ward";1
42;"ICU";"ICU";6
42;"Dead";"Dead";13
43;"Discharged";"Discharged";317
43;"Discharged";"Non-ICU ward";4
43;"Non-ICU ward";"Discharged";4
43;"Non-ICU ward";"Non-ICU ward";48
43;"Non-ICU ward";"ICU";2
43;"ICU";"ICU";5
43;"Dead";"Dead";13
44;"Discharged";"Discharged";320
44;"Discharged";"Non-ICU ward";6
44;"Non-ICU ward";"Discharged";1
44;"Non-ICU ward";"Non-ICU ward";47
44;"ICU";"Non-ICU ward";1
44;"ICU";"ICU";5
44;"Dead";"Dead";13
45;"Discharged";"Discharged";325
45;"Discharged";"Non-ICU ward";7
45;"Non-ICU ward";"Discharged";1
45;"Non-ICU ward";"Non-ICU ward";41
45;"Non-ICU ward";"ICU";1
45;"ICU";"ICU";5
45;"Dead";"Dead";13
46;"Discharged";"Discharged";331
46;"Discharged";"Non-ICU ward";4
46;"Non-ICU ward";"Discharged";1
46;"Non-ICU ward";"Non-ICU ward";39
46;"Non-ICU ward";"ICU";1
46;"ICU";"ICU";4
46;"Dead";"Dead";13
47;"Discharged";"Discharged";335
47;"Non-ICU ward";"Non-ICU ward";41
47;"Non-ICU ward";"ICU";1
47;"ICU";"ICU";3
47;"Dead";"Dead";13
48;"Discharged";"Discharged";334
48;"Discharged";"Non-ICU ward";1
48;"Non-ICU ward";"Discharged";1
48;"Non-ICU ward";"Non-ICU ward";41
48;"ICU";"ICU";3
48;"Dead";"Dead";13
49;"Discharged";"Discharged";335
49;"Discharged";"Non-ICU ward";2
49;"Non-ICU ward";"Non-ICU ward";39
49;"ICU";"Non-ICU ward";1
49;"ICU";"ICU";3
49;"Dead";"Dead";13
50;"Discharged";"Discharged";336
50;"Discharged";"Non-ICU ward";5
50;"Non-ICU ward";"Discharged";1
50;"Non-ICU ward";"Non-ICU ward";34
50;"ICU";"ICU";4
50;"Dead";"Dead";13
51;"Discharged";"Discharged";339
51;"Discharged";"Non-ICU ward";1
51;"Non-ICU ward";"Discharged";2
51;"Non-ICU ward";"Non-ICU ward";34
51;"ICU";"ICU";4
51;"Dead";"Dead";13
52;"Discharged";"Discharged";338
52;"Discharged";"Non-ICU ward";5
52;"Non-ICU ward";"Discharged";2
52;"Non-ICU ward";"Non-ICU ward";31
52;"ICU";"ICU";4
52;"Dead";"Dead";13
53;"Discharged";"Discharged";342
53;"Discharged";"Non-ICU ward";1
53;"Non-ICU ward";"Discharged";1
53;"Non-ICU ward";"Non-ICU ward";32
53;"ICU";"ICU";4
53;"Dead";"Dead";13
54;"Discharged";"Discharged";342
54;"Non-ICU ward";"Non-ICU ward";32
54;"ICU";"Discharged";1
54;"ICU";"ICU";4
54;"Dead";"Non-ICU ward";1
54;"Dead";"Dead";13
55;"Discharged";"Discharged";341
55;"Discharged";"Non-ICU ward";1
55;"Non-ICU ward";"Discharged";1
55;"Non-ICU ward";"Non-ICU ward";31
55;"ICU";"ICU";5
55;"Dead";"Dead";14
56;"Discharged";"Discharged";341
56;"Discharged";"Non-ICU ward";2
56;"Non-ICU ward";"Discharged";1
56;"Non-ICU ward";"Non-ICU ward";29
56;"Non-ICU ward";"ICU";1
56;"ICU";"ICU";4
56;"Dead";"Non-ICU ward";1
56;"Dead";"Dead";14
57;"Discharged";"Discharged";342
57;"Discharged";"Non-ICU ward";7
57;"Non-ICU ward";"Discharged";1
57;"Non-ICU ward";"Non-ICU ward";24
57;"ICU";"ICU";4
57;"Dead";"Dead";15
58;"Discharged";"Discharged";347
58;"Discharged";"Non-ICU ward";1
58;"Non-ICU ward";"Discharged";2
58;"Non-ICU ward";"Non-ICU ward";24
58;"ICU";"ICU";4
58;"Dead";"Dead";15
59;"Discharged";"Discharged";344
59;"Discharged";"Non-ICU ward";1
59;"Non-ICU ward";"Discharged";2
59;"Non-ICU ward";"Non-ICU ward";25
59;"ICU";"Discharged";1
59;"ICU";"ICU";4
59;"Dead";"Discharged";1
59;"Dead";"Dead";15
60;"Discharged";"Discharged";345
60;"Discharged";"Non-ICU ward";1
60;"Non-ICU ward";"Non-ICU ward";26
60;"ICU";"ICU";5
60;"Dead";"Dead";16
61;"Discharged";"Discharged";345
61;"Discharged";"Non-ICU ward";2
61;"Non-ICU ward";"Discharged";1
61;"Non-ICU ward";"Non-ICU ward";24
61;"Non-ICU ward";"ICU";1
61;"ICU";"ICU";4
61;"Dead";"Dead";16
62;"Discharged";"Discharged";346
62;"Discharged";"Non-ICU ward";3
62;"Non-ICU ward";"Discharged";1
62;"Non-ICU ward";"Non-ICU ward";23
62;"ICU";"ICU";4
62;"Dead";"Dead";16
63;"Discharged";"Discharged";348
63;"Non-ICU ward";"Discharged";1
63;"Non-ICU ward";"Non-ICU ward";24
63;"Non-ICU ward";"ICU";1
63;"ICU";"ICU";3
63;"Dead";"Dead";16
64;"Discharged";"Discharged";347
64;"Discharged";"Non-ICU ward";2
64;"Non-ICU ward";"Discharged";1
64;"Non-ICU ward";"Non-ICU ward";24
64;"ICU";"ICU";3
64;"Dead";"Dead";16
65;"Discharged";"Discharged";347
65;"Discharged";"Non-ICU ward";3
65;"Non-ICU ward";"Discharged";2
65;"Non-ICU ward";"Non-ICU ward";22
65;"ICU";"ICU";3
65;"Dead";"Dead";16
66;"Discharged";"Discharged";350
66;"Discharged";"Non-ICU ward";2
66;"Non-ICU ward";"Non-ICU ward";22
66;"ICU";"ICU";3
66;"Dead";"Dead";16
